yb	VVc	bD50	Fr	ysb	Source
5.912912913	0.796610169	53.42021053	0.236160886	2.201201201	USGS
5.912912913	0.901369863	18.97166355	0.41328155	1.762762763	USGS
3.93993994	0.857142857	267.1010526	0.138499616	1.45045045	USGS
3.93993994	0.798206278	53.42021053	0.273921463	2.192192192	USGS
3.93993994	0.900584795	18.97166355	0.473976464	1.750750751	USGS
2.954954955	0.861386139	267.1010526	0.154594729	1.42042042	USGS
2.954954955	0.794392523	53.42021053	0.302081653	2.081081081	USGS
2.954954955	0.898773006	18.97166355	0.520646615	1.621621622	USGS
1.96996997	0.864583333	267.1010526	0.180633855	1.252252252	USGS
1.96996997	0.7960199	53.42021053	0.348209841	1.951951952	USGS
1.96996997	0.900990099	18.97166355	0.594133041	1.462462462	USGS
0.984984985	0.852272727	267.1010526	0.230832693	1.252252252	USGS
0.984984985	0.794444444	53.42021053	0.440121002	1.672672673	USGS
0.984984985	0.901140684	18.97166355	0.729431311	1.291291291	USGS
0.492492492	0.8375	267.1010526	0.291625742	0.831831832	USGS
0.492492492	0.791139241	53.42021053	0.544077876	1.45045045	USGS
0.492492492	0.901785714	18.97166355	0.879229848	1	USGS
0.198198198	0.790697674	53.42021053	0.6998439	0.681681682	USGS
4.00203252	0.893203883	624.84	0.115568093	1.691056911	USGS
4.00203252	1	178.5257143	0.180889189	2.260162602	USGS
4.00203252	0.838983051	78.92715789	0.248722635	2.270325203	USGS
4.00203252	0.950684932	28.03020561	0.435892699	2.06097561	USGS
4.00203252	0.947368421	19.22584615	0.49744527	1.930894309	USGS
4.00203252	0.844660194	624.84	0.109287218	1.630081301	USGS
4.00203252	0.957446809	187.452	0.169583615	2.099593496	USGS
4.00203252	0.951388889	178.5257143	0.172095965	2.091463415	USGS
4.00203252	0.796610169	78.92715789	0.236160886	2.119918699	USGS
4.00203252	0.901369863	28.03020561	0.41328155	2.050813008	USGS
4.00203252	0.899521531	19.22584615	0.472321771	1.930894309	USGS
2.501905972	0.844660194	999.49	0.109287218	0.860228717	USGS
2.501905972	0.871559633	631.2568421	0.119336618	0.919949174	USGS
2.501905972	0.957446809	299.847	0.169583615	1.020330368	USGS
2.501905972	0.796610169	126.2513684	0.236160886	1.371029225	USGS
2.501905972	0.901369863	44.83693458	0.41328155	1.461245235	USGS
0.416772554	0.852272727	631.2568421	0.230832693	0.730622618	USGS
0.416772554	0.794444444	126.2513684	0.440121002	1.130876747	USGS
0.416772554	0.901140684	44.83693458	0.729431311	1.231257942	USGS
0.208386277	0.901785714	44.83693458	0.879229848	1.151207116	USGS
15.62380952	0.857954545	60.96	0.146942292	1.771428571	USGS
8.772727273	0.857954545	108.5668571	0.146942292	1.655080214	USGS
5.817375887	0.857954545	163.7211429	0.146942292	1.54964539	USGS
4.147914033	0.857954545	229.616	0.146942292	1.343868521	USGS
3.277722278	0.857954545	290.576	0.146942292	1.254745255	USGS
2.463213213	0.857954545	386.6605714	0.146942292	1.123873874	USGS
6.00304878	0.950413223	181.7716364	0.144460116	1.600609756	USGS
6.00304878	0.950413223	181.7716364	0.144460116	2.201219512	USGS
6.00304878	0.950413223	181.7716364	0.144460116	1.5	USGS
6.00304878	0.950413223	181.7716364	0.144460116	0.899390244	USGS
6.00304878	0.950413223	181.7716364	0.144460116	0.451219512	USGS
6.00304878	0.951724138	117.6169412	0.173352139	2.100609756	USGS
6.00304878	0.951724138	117.6169412	0.173352139	1.701219512	USGS
6.00304878	0.951724138	117.6169412	0.173352139	1.100609756	USGS
6.00304878	0.951724138	117.6169412	0.173352139	0.75	USGS
6.00304878	0.951724138	117.6169412	0.173352139	0.399390244	USGS
6.00304878	0.949152542	52.61810526	0.281383183	2.201219512	USGS
6.00304878	0.949152542	52.61810526	0.281383183	1.701219512	USGS
6.00304878	0.949152542	52.61810526	0.281383183	1.301829268	USGS
6.00304878	0.949152542	52.61810526	0.281383183	1.048780488	USGS
6.00304878	0.949152542	52.61810526	0.281383183	0.75	USGS
6.00304878	0.951515152	24.384	0.394438926	2.25	USGS
6.00304878	0.951515152	24.384	0.394438926	1.951219512	USGS
6.00304878	0.951515152	24.384	0.394438926	1.75	USGS
6.00304878	0.950413223	181.7716364	0.144460116	1.399390244	USGS
2.320121951	0.925925926	47.60685714	0.40412028	1.951219512	USGS
1.545706371	0.922330097	52.39657143	0.448342056	1.581717452	USGS
1.546747967	0.925925926	71.41028571	0.40412028	1.727642276	USGS
4.850299401	1.139830508	20.36064	0.526844861	1.706586826	USGS
4.736526946	1.10212766	20.36064	0.513315644	1.844311377	USGS
4.245508982	2.004329004	20.36064	0.969238934	2.221556886	USGS
2.005988024	1.952380952	203.6064	0.499452765	1.652694611	USGS
2.005988024	2.928571429	203.6064	0.749179148	1.946107784	USGS
2.005988024	3.904761905	203.6064	0.998905531	2.239520958	USGS
2.005988024	4.69047619	203.6064	1.199904815	3.083832335	USGS
2.005988024	1.025	33.9344	0.499452765	1.688622754	USGS
2.005988024	1.33125	33.9344	0.648679506	1.706586826	USGS
2.005988024	1.5375	33.9344	0.749179148	1.688622754	USGS
2.005988024	1.74375	33.9344	0.84967879	1.928143713	USGS
2.005988024	2.05	33.9344	0.998905531	2.25748503	USGS
2.005988024	2.4625	33.9344	1.199904815	2.532934132	USGS
2.005988024	3.075	33.9344	1.498358296	2.946107784	USGS
2.005988024	0.807881773	20.36064	0.499452765	1.904191617	USGS
2.005988024	1	20.36064	0.618225069	1.437125749	USGS
2.005988024	1.21182266	20.36064	0.749179148	1.473053892	USGS
2.005988024	1.615763547	20.36064	0.998905531	2.023952096	USGS
2.005988024	1.9408867	20.36064	1.199904815	2.101796407	USGS
1.006006006	1.952380952	405.9936	0.499452765	1.183183183	USGS
1.006006006	2.928571429	405.9936	0.749179148	1.477477477	USGS
1.006006006	3.904761905	405.9936	0.998905531	1.567567568	USGS
1.006006006	4.69047619	405.9936	1.199904815	1.822822823	USGS
1.006006006	1.025	67.6656	0.499452765	1.3003003	USGS
1.006006006	1.33125	67.6656	0.648679506	1.213213213	USGS
1.006006006	1.5375	67.6656	0.749179148	1.222222222	USGS
1.006006006	1.74375	67.6656	0.84967879	1.369369369	USGS
1.006006006	2.05	67.6656	0.998905531	1.516516517	USGS
1.006006006	2.4625	67.6656	1.199904815	1.714714715	USGS
1.006006006	0.807881773	40.59936	0.499452765	1.576576577	USGS
1.006006006	1	40.59936	0.618225069	1.39039039	USGS
1.006006006	1.21182266	40.59936	0.749179148	1.369369369	USGS
1.006006006	1.615763547	40.59936	0.998905531	1.468468468	USGS
1.006006006	1.9408867	40.59936	1.199904815	1.567567568	USGS
1.75502008	0.564102564	30.35808	0.331840913	0.578313253	USGS
1.75502008	0.823717949	30.35808	0.484563151	1.508032129	USGS
1.75502008	0.846625767	126.492	0.260193443	1.441767068	USGS
1.75502008	0.989583333	505.968	0.179118674	1.086345382	USGS
1.75502008	0.567307692	30.35808	0.333726372	0.624497992	USGS
1.75502008	0.621794872	30.35808	0.365779188	0.84939759	USGS
1.75502008	0.598290598	63.246	0.263964362	0.78313253	USGS
1.75502008	0.625766871	126.492	0.192316893	0.710843373	USGS
1.75502008	0.683760684	63.246	0.301673557	0.941767068	USGS
1.75502008	0.687116564	126.492	0.21117149	1.144578313	USGS
1.75502008	0.75	30.35808	0.441197577	1.738955823	USGS
1.75502008	1.085889571	126.492	0.333726372	1.317269076	USGS
1.753507014	0.75	30.41904	0.440945392	1.775551102	USGS
1.753507014	0.760683761	63.373	0.335419999	1.643286573	USGS
